    #theta              beta_x             alpha_x              beta_y             alpha_y
     20.16250000         1.830289414         1.947876813         3.386130942        -1.986946878
     20.20500000         1.816594667         1.936749818         3.400129417        -1.983818450
     20.24750000         1.802979266         1.924533253         3.414102400        -1.978852189
     20.29000000         1.789449403         1.911753972         3.428039846        -1.972977969
     20.33250000         1.776014464         1.896986335         3.441925108        -1.963392764
     20.37500000         1.762683828         1.881656949         3.455741018        -1.952767058
     20.41750000         1.749462100         1.865698614         3.469479163        -1.940913048
     20.46000000         1.736354508         1.849001525         3.483129488        -1.927554457
     20.50250000         1.723365491         1.831897491         3.496683095        -1.913295116
     20.54500000         1.710500591         1.813742829         3.510128411        -1.896771508
     20.58750000         1.697765205         1.795218385         3.523453711        -1.879306865
     20.63000000         1.685162755         1.776203186         3.536650890        -1.860599965
     20.67250000         1.672696567         1.756840595         3.549711670        -1.840899892
     20.71500000         1.660369354         1.737158561         3.562628711        -1.820219690
     20.75750000         1.648183704         1.717159758         3.575394598        -1.798520426
     20.80000000         1.636142039         1.696885431         3.588001955        -1.775847580
     20.84250000         1.624245374         1.676686466         3.600446177        -1.752935323
     20.88500000         1.612494450         1.656286126         3.612723025        -1.729145597
     20.92750000         1.600890282         1.635877682         3.624827443        -1.704879703
     20.97000000         1.589433545         1.615359270         3.636754915        -1.679881495
     21.01250000         1.578125199         1.594746264         3.648500068        -1.654157736
     21.05500000         1.566964855         1.574400075         3.660060449        -1.628523713
     21.09750000         1.555952150         1.553948025         3.671433409        -1.602099227
     21.14000000         1.545085948         1.533974729         3.682618026        -1.576250417
     21.18250000         1.534365045         1.513911447         3.693613459        -1.549623627
     21.22500000         1.523789228         1.494039255         3.704416440        -1.522878478
     21.26750000         1.513357696         1.474239780         3.715025019        -1.495721178
     21.31000000         1.503070352         1.454426062         3.725435440        -1.467925578
     21.35250000         1.492924524         1.435410600         3.735650263        -1.441509408
     21.39500000         1.482917467         1.416400299         3.745672285        -1.414512891
     21.43750000         1.473047985         1.397740461         3.755500481        -1.387804124
